"";"Peso(kg)";"Talla(mts)";"tallasentado(cms)";"Pli.Biceps";"Pli.Tric";"Pli.Subesca";"Pli.Crestailiaca";"pli.Supraespinal";"Pli.Abd";"Pli.Muslo";"Pli.Pantorrilla";"Peri.Brazorelax";"Peri.Brazoflex";"Peri.Cintura";"Peri.Cadera";"Peri.Pantorrilla";"Diam.Humeral";"Diam.Femoral";"wells1";"wells2";"wells3";"Dina.der1";"Dina.Izq1";"Dina.der2";"Dina.Izq2";"SaltoH1";"SaltoH2";"20mtetros1";"20mtetros2";"Agilidad1";"Agilidad2";"Leger";"Sexo";"Estrato";"Edad"
"1";17,6;1,11;59,7;6;10;6;9;6;7;13;8;15,4;16;49,5;57,8;21;4,4;6,5;4;4;8;2;1;1;2;88;96;5,97;6,03;18,56;16,92;1;"femenino";3;6
"2";48,3;1,593;83,1;6;14;9;15;11;20;19;14;24,4;25;64,5;85,9;31,2;6,1;8,6;4;4;6;24;26;24;26;140;157;4;4,1;13,1;12,79;5;"femenino";3;13
"3";38;1,394;73,2;14;21;16;29;22;23;33;20;24,4;25;66,5;80;29,1;5,5;8,1;-11,5;-10;-10,5;10;10;10;8;70;77;4,5;5,16;16,75;15,22;2;"femenino";3;10
"4";38,5;1,404;73;12;17;13;33;25;28;21;30;22;23,2;67,5;79,5;30;5,7;9;-6;-6;-4;13;12;13;12;82;70;4,72;4,81;14,5;13,66;5;"masculino";1;12
"5";38,3;1,37;71;7;13;11;24;14;20;24;11;22,3;23,3;66,3;79,5;31,2;5,7;8,8;6;6,5;6,5;15;10;13;14;134;140;5,19;4,28;13,9;13,6;2;"masculino";3;11
"6";29,9;1,319;68,6;7;12;7;9;7;13;19;12;20;20,6;59,7;70,6;25,8;5,6;8,4;8,5;10;9;10;9;8;8;148;148;3,97;5,16;13,22;13,62;2,5;"masculino";3;10
"7";47;1,537;79,1;9;19;13;20;17;23;19;15;23,8;24;66,4;86,7;29,7;5,8;8,1;3,5;4;2;17;2;16;14;125;123;4,54;4,53;14,6;14,16;2,5;"femenino";3;14
"8";35,5;1,38;71,8;7;18;10;12;20;13;20;15;21;21,9;61,2;79;27,1;5,7;8,6;-3,5;1;0,5;12;13;10;11;124;110;5,6;4,84;13,19;13,56;3;"masculino";3;10
"9";20,2;1,147;59,8;4;7;6;10;6;12;14;12;16,3;17,1;51,7;60,3;23,3;4,9;7,2;4;4,5;6;9;10;9;9;94;94;4,97;5,07;14,35;14,22;2;"masculino";2;NA
"10";29,8;1,221;65;8;17;17;27;20;30;30;14;21,7;22;61,5;73,5;27;5,2;7,5;-2;4;1,5;8;8;9;9;68;83;4,94;5,4;14,91;15,97;1;"femenino";2;8
"11";21,2;1,247;63,4;6;6,5;6;10;4;5;8;7;15,5;16,2;52,7;57;22,8;4,7;7,5;-11,5;-7;-8;8;9;9;8;95;78;5,03;5,16;16,9;16,94;1;"masculino";3;7
"12";24,3;1,231;65,5;7;10;8;13;8;8;13;7;16,8;19;57,5;63,8;24,8;5,2;7,5;4,5;5;5;10;10;9;10;98;110;4,84;5,45;16,41;16,47;1;"masculino";2;NA
"13";16;1,105;60,9;2;5;4;5;3;4;8;5;14;14,2;48;55;20;4,4;6,5;5,5;5,5;7;5;5;5;4;53;81;5,03;5,75;18,72;15,79;3;"femenino";3;7
"14";21,7;1,186;63,4;8;13;8;15;8;12;13;8;17,3;18;48;60,6;23,2;5;7,3;8;9;10;10;8;10;8;118;114;5,61;5,78;15,57;15,28;1;"masculino";2;7
"15";22,9;1,18;64,8;8;14;12;19;9;17;21;10;17,8;18,4;54,5;63;23,2;4,8;7,3;2;4;4,5;7;8;7;6;70;90;6;5,8;16,32;17,5;1;"femenino";3;7
"16";22,6;1,188;61;5;8;7;11;5;9;13;8;17,5;18;54,5;61;23,8;5,1;7,2;0,5;1;3,5;10;9;10;7;95;91;5,59;6,1;17,06;17;1;"masculino";2;7
"17";26,6;1,28;67;8;16;11;21;11;19;21;12;19;20;60,2;66,6;25,6;5;7,6;-12,5;-6,5;-6,5;9;10;9;10;117;114;5,03;5,1;16,09;13,75;1;"masculino";3;9
"18";32,7;1,259;66;13;18;16;28;16;24;31;18;22,7;22,3;64,2;75;28,6;5,5;7,8;-7,5;-5,5;-7,4;8;10;7;8;85;82;5,19;5,25;16,34;16,78;2;"femenino";3;8
"19";23,1;1,225;63,8;8;15;12;20;14;13;23;12;18,2;18,8;51,3;64,2;24;4,6;7,3;-6;-6,5;-5;7;2;4;2;90;88;4,82;5,18;16,56;17,72;1;"femenino";2;8
"20";28,1;1,31;69,6;6;10;9;20;8;12;18;11;19,1;20;55,3;66,4;26,5;5,2;8;-0,5;1,5;2;12;11;10;10;99;95;4,72;4,94;17,28;15,19;1;"masculino";3;7
"21";25,8;1,258;63,9;9;10;11;23;16;14;21;10;18,5;19,2;54,2;66,5;24,8;5,2;7,6;-7;-8,5;-7,5;9;7;8;4;87;98;5,72;5,33;17,41;17,06;1;"masculino";2;7
"22";20,9;1,196;63,1;4;7;6;8;5;7;10;7;16,9;17,8;56,5;57,2;34;5,2;7,4;2;2;2;11;10;10;10;110;126;4,5;4,34;14,03;14,47;1;"masculino";1;NA
"23";36,2;1,351;68,9;14;15;12;23;20;25;20;14;22;22,7;65,3;77,2;30,5;5,4;8;-9,5;-7,5;-7;8;12;13;10;104;108;5,31;5,01;15,31;14,72;2;"masculino";3;8
"24";18;1,13;59,9;4;9;4;4;3;4;8;4;16;17,5;49,7;55,4;22,4;4,7;6,9;3;7;7;10;8;9;8;115;125;4,57;4,78;15,21;13,57;5;"masculino";2;9
"25";22,5;1,229;64;4;8;5;7;4;7;10;6;17,5;18;53;59,5;34,2;5,2;7,5;-0,5;-0,5;-0,5;4;4;5;4;100;104;5,12;4,78;16,88;16,34;3;"masculino";3;7
"26";33,7;1,334;70,8;9;12;12;24;14;19;29;13;22;22,5;65,1;74,8;28,5;5,9;8,1;-3;-3;-4,5;12;12;15;8;87;105;4,62;4,78;15,41;15,13;2;"masculino";3;8
"27";31,9;1,309;67,5;11;12;12;13;8;18;13;8;22,3;22,8;61,3;70,2;27;5,7;8,3;9,5;15,5;15,5;12;10;12;10;123;119;4,56;4,78;14,15;14,72;3;"masculino";3;8
"28";19,7;1,179;62;2;5;4;6;4;3;3;5;16;17,5;48,2;57,3;22,8;4,9;7,4;-1;3,5;1;4;5;3;3;130;120;4,79;4,78;16,03;15;3;"masculino";3;7
"29";27,6;1,224;64,8;11;18;11;22;13;20;23;19;21;21,2;59,5;70,5;27,2;5,1;7,3;5;5;6;1;2;2;2;43;58;6,69;6,5;20,5;19,37;1;"femenino";2;6
"30";25,5;1,276;66;6;11;9;16;8;13;15;9;18;19,2;53;64;23,8;5,1;7,9;-4;-1;-0,5;6;4;5;5;107;114;4,94;4,29;15,09;14,12;4;"masculino";3;8
"31";23,5;1,266;64,4;6;8;5;12;5;6;8;6;18;19;49,7;61,8;23,3;5,1;7,9;8;9,5;10;9;11;10;8;140;145;4,56;4,09;12,81;12,66;3;"masculino";2;8
"32";27,8;1,21;61,3;10;15;13;30;13;21;20;14;20;21;60,3;69,1;26,7;5,3;7,5;3,5;3,5;5,5;9;9;8;8;82;101;5,44;5,26;16,56;15,94;1;"masculino";3;7
"33";31,9;1,255;68,9;10;12;12;27;12;21;21;13;21,5;22,5;60,1;78,5;29;5,5;8,4;10;9,5;10;10;8;4;8;115;115;4,53;4,72;14,1;14,57;1;"masculino";3;7
"34";26,5;1,269;68,9;3;8;6;7;5;6;13;7;18,3;20,3;56,7;64,1;26,8;5,3;8;13;14;14,5;18;16;16;16;142;142;3,82;3,78;12,91;12,32;2;"masculino";2;7
"35";46,4;1,644;85,5;6;15;8;16;6;14;19;12;21,2;21,5;59;86,2;30,4;5,4;8,3;-8;-6;-11;15;18;14;14;126;129;4,16;4,47;13,03;13,31;2,5;"femenino";2;14
"36";62,2;1,534;80;16;26;30;28;24;32;37;31;29,7;30;82;96,5;36,2;5,9;9;-2,5;-1;0;25;24;20;13;119;120;5,66;5,09;13,68;14,87;2;"femenino";2;13
"37";57,4;1,593;83;9;20;24;29;24;25;31;17;27;27,5;73,1;97;35;5,7;8,9;-17;-16;-12;17;20;22;19;144;144;3,97;4,04;12,44;11,94;2;"femenino";3;15
"38";36,6;1,435;73,5;8;13;8;15;12;18;14;15;22,2;22,8;58,8;77,4;27,9;5,8;8;-3,5;-2;-0,5;21;18;18;19;130;130;4,43;4,44;13,34;13,12;4;"femenino";2;13
"39";51,8;1,605;84;8;17;11;25;14;20;21;12;24,5;24,9;64;91,5;34,9;5,9;8,5;12;13,5;15;22;25;27;26;141;166;4,44;3,94;13,06;11,94;3;"femenino";3;15
"40";56,1;1,531;78,1;16;21;30;28;22;28;28;25;27,7;28,1;78,8;91;33,9;5,9;8,6;7;7,5;7;22;21;22;19;117;120;4,44;4,88;14;14,25;1;"femenino";2;14
"41";50,7;1,565;85;8;15;9;22;14;17;20;18;25,3;25,7;63,3;91;31,8;6,3;9,3;-1;6;10,5;23;23;23;20;150;158;4,1;4,03;12,03;11,04;4;"femenino";2;12
"42";52,5;1,536;78;10;20;27;28;22;30;28;18;26,3;26,7;73,3;93,7;32,5;5,8;8,4;-6,5;-1;-0,5;16;15;16;12;106;116;4,37;4,44;13,69;13,75;1,5;"femenino";3;14
"43";66,6;1,582;85,3;12;22;29;26;24;27;31;22;29;29,5;84;100,3;37,2;6,6;9,2;0,5;4,5;7;20;26;18;21;112;110;4,91;4,81;13,91;13,16;2,5;"femenino";3;13
"44";42,4;1,616;83,4;4;13;6;11;8;11;16;13;20,5;20,7;60,6;84,5;30,2;6;8,5;1;2;2,5;22;18;23;12;160;155;4,37;4,28;12,57;12,69;5;"femenino";3;14
"45";26,4;1,239;66,4;5;10;14;14;8;14;11;7;19,4;20,8;56,2;66;26;5;7,2;8;10;9,5;12;12;10;13;122;130;4,41;4,41;14,18;13,69;2;"femenino";2;8
"46";26,8;1,255;63,7;4;11;6;18;11;14;15;8;20,3;20,5;58,8;68,5;26;5,5;7,7;-15;-12;-10;8;4;5;3;90;80;4,56;5,22;15,78;16,44;1;"femenino";3;NA
"47";32,6;1,254;66;15;19;17;32;18;26;26;19;22;23,9;63,1;77;28,3;5,3;7,8;-15,5;-10;-12,5;7;8;6;8;90;88;5,69;5,5;17;15,84;1;"femenino";3;8
"48";38,8;1,274;67,1;17;24;28;41;29;30;36;25;23,4;23,3;73;80;30;5,5;8,4;-7,5;-2,5;-2;8;10;8;10;88;88;5,47;5,75;17,57;16,94;1;"femenino";2;7
"49";54,3;1,699;88,4;5;11;8;12;11;15;19;11;23,8;24,5;61,5;90,5;35,6;6,6;9,2;-7,5;-5;-3;25;25;23;24;140;160;4,47;4,27;12,6;12,16;3;"femenino";2;14
"50";55,8;1,564;83,9;16;21;19;34;26;31;22;31;26,3;26,8;66,8;95;33,5;5,7;8,7;-12,5;-10;-9,5;22;19;18;16;112;112;5,04;4,9;14,06;14,91;1,5;"femenino";3;14
"51";49,9;1,575;82;10;15;12;22;17;21;28;19;25,6;25,8;64,5;88,5;32,9;6,2;9,3;-1;1,5;3;19;18;26;16;140;130;4,63;5,03;13,56;12,72;2;"femenino";2;14
"52";75,1;1,623;85;11;20;34;22;25;26;29;24;33;33,2;83;110;36,2;6;9,3;3;6;6;18;24;21;23;123;130;4,62;4,78;15,25;14,25;1;"femenino";3;13
"53";31,7;1,501;77;4;8;7;11;6;9;11;9;18;19,8;53,8;69;27,2;5,5;7,9;0,5;2;1,5;18;9;18;11;150;146;3,87;4,03;12,75;12,44;4;"femenino";2;12
"54";46;1,456;76;13;19;16;42;21;35;27;21;24,6;25;71,2;85,4;32,2;6,1;9,2;-8,5;-4,5;-4,5;18;14;13;14;109;124;4,5;4,31;14,37;13,09;3;"masculino";3;10
"55";48,8;1,608;82;6;20;17;25;18;22;18;16;23,5;24,3;64,3;89;32,5;5,5;8,5;3;4;8;22;20;20;14;140;150;4,91;4,56;12,94;12,81;3,5;"femenino";3;15
"56";32,6;1,425;71,9;3;8;6;9;5;9;12;8;19;20,4;59,8;71,3;28;5,8;8,6;6,5;9;8;16;15;16;14;150;150;4,31;4,13;13,44;12,38;3;"masculino";3;10
"57";44,1;1,475;74;8;14;13;28;16;26;23;10;24;24,7;68,8;81,5;31,1;6;8,7;-8,5;-8;-9,5;16;12;16;13;121;121;4,63;4,41;13,69;13;2;"masculino";2;12
"58";28,8;1,278;64;10;14;8;19;10;18;22;12;20,8;21;60;69,1;27,8;5,3;7,8;0,5;-2,5;0,5;12;11;12;9;97;108;4,87;5;13,62;13,93;3;"femenino";1;10
"59";26,8;1,402;73,3;4;9;4;7;4;6;12;6;17,3;18,5;53,2;65,8;23,6;5,6;6,2;8;8,5;10,5;10;10;12;11;128;120;4,4;5,52;14,13;14,57;1;"masculino";2;9
"60";35;1,374;73;7;13;8;13;8;14;19;14;21;21,8;63,2;74,4;28,5;6;8,6;-4;-5;-2;13;14;12;13;114;125;4,53;4,78;14,31;15,25;1;"masculino";2;9
"61";25,7;1,306;67,8;5;8;6;6;6;7;10;8;18,7;19,5;53,2;65;24,7;5,4;7,7;2;4;4;10;12;11;10;134;150;4;4,25;12,5;12,78;5;"masculino";3;10
"62";48,3;1,614;86;6;13;10;16;13;15;20;13;23,5;24;60,5;88;29,5;5,9;8,6;5;8,5;9;26;21;20;20;163;162;3,53;4,01;13;11,93;5;"femenino";2;14
"63";29,4;1,423;72,7;2;7;4;3;4;4;10;5;18,1;19,4;54,5;69,2;26,3;6;8,5;1,5;1,5;1;11;12;12;12;134;134;4,16;3,97;12;11,97;6;"masculino";3;11
"64";42,4;1,525;81,5;5;13;12;14;12;14;31;13;23,3;23,8;59,1;85;30,3;6;8,5;-0,5;2,5;4,5;19;18;18;16;143;126;4,1;3,84;13,56;13,44;3;"femenino";3;14
"65";64,9;1,623;81,5;10;21;30,2;40;25;42;32;25;27,5;28,2;76;104;34,7;6,7;9,2;11;12;10;18;23;16;20;130;125;4,3;4,93;14,72;13,44;1;"femenino";3;14
"66";46,5;1,427;73;9;18;18;17;16;23;30;14;25;26,3;71,1;86;31;6,3;9,4;-12,5;-10;-8,5;16;15;14;14;118;123;4,57;4,78;17,19;16,19;2;"masculino";2;10
"67";25,7;1,256;66;6;10;7;13;8;8;13;8;17,2;18,2;55,7;65;25,4;5,4;8,3;2,5;3,5;4,5;10;10;7;8;130;118;5;4,9;14,12;13,93;4;"masculino";2;7
"68";30,8;1,368;70,5;9;13;10;21;8;13;17;10;20;21;59,2;70,5;27;5,1;8;0,5;1;1;14;14;12;12;135;135;4,38;4,47;13,44;13,19;2;"masculino";3;9
"69";28,8;1,248;64;8;13;12;21;12;22;20;15;21,6;22,1;59,4;70,4;26,1;5,5;7,8;-7;-2;0,5;9;10;9;9;110;114;4,6;4,93;14,69;15,6;1,5;"masculino";3;8
"70";24,5;1,182;64,2;6;10;7;10;6;8;13;8;19,2;20;56,3;63,4;25,6;5,2;7,5;9,5;10;11;12;10;10;8;128;125;4,69;5,28;14,59;14,75;1,5;"masculino";3;7
"71";24,8;1,188;63;5;11;7;10;7;11;18;11;18;18,5;57;69,4;26;4,8;7,8;2;6,5;7;3;2;3;2;112;118;4,75;4,91;13,66;14,09;3;"masculino";3;7
"72";57;1,557;80,4;20;28;27;52;33;51;40;25;27,5;28,1;74,7;92,2;34,8;6,1;9,8;-20;-20;-20;12;14;10;13;101;120;5,31;5,81;15,47;15,41;1;"masculino";3;12
"73";31,7;1,432;72,5;3;7;6;4;3;5;9;6;18,8;20,5;57;70,5;28;6,1;8,7;-7;-5,5;-2;16;18;13;15;135;142;4,47;4,29;13,37;14,19;4;"masculino";2;10
"74";42,2;1,549;80;3;8;8;9;6;11;14;8;20,4;22,2;57,7;80;29,9;5,5;8;13;16;17,5;16;19;16;14;150;169;3,56;3,56;11,81;11,25;6;"femenino";2;12
"75";27,9;1,405;69,7;4;8;4;6;4;6;11;6;16,4;18,4;51,5;66,3;25,3;5,2;7;-1;-0,5;-1,5;11;12;10;13;150;145;3,75;3,81;11,75;11,44;6;"femenino";2;10
"76";28;1,406;69,5;3;7;4;5;4;6;10;6;17;19;52,8;65,2;25,6;5,3;7,7;0;2;1,5;7;12;17;12;165;159;3,69;3,78;11,13;11,69;6;"femenino";2;10
"77";33,2;1,413;73,3;6;14;7;10;7;10;18;12;21;21,5;59,4;75;28;5,8;8,1;-4;-1;-1;5;8;9;9;107;121;4,09;3,97;12,81;12,44;6,5;"femenino";3;11
"78";32;1,456;73,5;7;14;7;14;8;11;16;10;20;20,7;57,8;71,4;25,4;5,6;8;9;7;8,5;11;12;13;13;140;137;4,1;4,06;13,04;12,56;6;"femenino";2;13
"79";25,8;1,375;70,1;4;8;4;8;4;6;8;8;17,2;18,3;50,5;63,3;24,5;4,9;7,4;-6,5;-4;-2,5;9;10;9;10;159;165;3,53;3,63;12,66;11,57;8,5;"femenino";3;11
"80";29,8;1,415;73,1;4;10;6;11;7;10;16;7;19,5;20;53,5;70;26,2;5,1;7,5;6;8;9;14;16;15;15;160;175;3,78;3,88;12,72;12,03;6,5;"femenino";3;12
"81";34,9;1,492;76,6;6;16;8;13;7;13;15;13;20;21,1;56,3;74,5;27,8;5,6;8;5;7;7;18;12;20;16;160;170;3,81;3,68;12,06;11,97;5;"femenino";3;13
